name,position,shirt_no
Lassana Coulibaly,Central Midfield,18
Giulio Maggiore,Central Midfield,25
Toma Bašić,Central Midfield,26
Antonio Candreva,Right Midfield,87
Agustín Martegani,Attacking Midfield,7
Grigoris Kastanos,Attacking Midfield,20
Iron Gomis,Attacking Midfield,11
Andres Sfait,Left Winger,36
Loum Tchaouna,Right Winger,33
Emanuel Vignato,Right Winger,55
Boulaye Dia,Centre-Forward,10
Shon Weissman,Centre-Forward,14
Chukwubuikem Ikwuemesi,Centre-Forward,22
Simy,Centre-Forward,9
Mikael,Centre-Forward,-
Simone Scuffet,Goalkeeper,22
Boris Radunović,Goalkeeper,1
Simone Aresti,Goalkeeper,18
Alberto Dossena,Centre-Back,4
Pantelis Hatzidiakos,Centre-Back,17
Mateusz Wieteska,Centre-Back,23
Yerry Mina,Centre-Back,26
Adam Obert,Centre-Back,33
Tommaso Augello,Left-Back,27
Paulo Azzi,Left-Back,37
Gabriele Zappa,Right-Back,28
Alessandro Di Pardo,Right-Back,99
Matteo Prati,Defensive Midfield,16
Antoine Makoumbou,Defensive Midfield,29
Ibrahim Sulemana,Defensive Midfield,25
Nahitan Nández,Central Midfield,8
Alessandro Deiola,Central Midfield,14
Nicolas Viola,Central Midfield,10
Jakub Jankto,Left Midfield,21
Gianluca Gaetano,Attacking Midfield,70
Gaetano Oristanio,Attacking Midfield,19
Marco Mancosu,Attacking Midfield,5
Zito Luvumbo,Centre-Forward,77
Andrea Petagna,Centre-Forward,32
Eldor Shomurodov,Centre-Forward,61
Gianluca Lapadula,Centre-Forward,9
Leonardo Pavoletti,Centre-Forward,30
Elia Caprile,Goalkeeper,25
Samuele Perisan,Goalkeeper,1
Etrit Berisha,Goalkeeper,99
Sebastiano Luperto,Centre-Back,33
Ardian Ismajli,Centre-Back,34
Sebastian Walukiewicz,Centre-Back,4
Saba Goglichidze,Centre-Back,2
Lorenzo Tonelli,Centre-Back,-
Giuseppe Pezzella,Left-Back,3
Liberato Cacace,Left-Back,13
Tyronne Ebuehi,Right-Back,24
Bartosz Bereszyński,Right-Back,19
Alberto Grassi,Defensive Midfield,5
Jacopo Fazzini,Central Midfield,21
Youssef Maleh,Central Midfield,29
Răzvan Marin,Central Midfield,18
Szymon Żurkowski,Central Midfield,27
Luca Belardinelli,Central Midfield,16
Simone Bastoni,Central Midfield,30
Viktor Kovalenko,Attacking Midfield,8
Nicolò Cambiaghi,Left Winger,28
Emmanuel Gyasi,Left Winger,11
Matteo Cancellieri,Right Winger,20
M'Baye Niang,Centre-Forward,10
Stiven Shpendi,Centre-Forward,7
Alberto Cerri,Centre-Forward,17
Francesco Caputo,Centre-Forward,9
Mattia Destro,Centre-Forward,23
Lorenzo Montipò,Goalkeeper,1
Simone Perilli,Goalkeeper,34
Mattia Chiesa,Goalkeeper,16
Alessandro Berardi,Goalkeeper,22
Diego Coppola,Centre-Back,42
Giangiacomo Magnani,Centre-Back,23
Paweł Dawidowicz,Centre-Back,27
Juan Cabal,Centre-Back,32
Rúben Vinagre,Left-Back,19
Fabien Centonze,Right-Back,18
