name,position,shirt_no
Thomas Kaminski,Goalkeeper,24
Tim Krul,Goalkeeper,23
James Shea,Goalkeeper,1
Teden Mengi,Centre-Back,15
Tom Lockyer,Centre-Back,4
Gabriel Osho,Centre-Back,2
Mads Andersen,Centre-Back,5
Reece Burke,Centre-Back,16
Amari'i Bell,Left-Back,29
Dan Potts,Left-Back,3
Issa Kaboré,Right-Back,12
Daiki Hashioka,Right-Back,27
Marvelous Nakamba,Defensive Midfield,13
Pelly Ruddock Mpanzu,Defensive Midfield,17
Albert Sambi Lokonga,Central Midfield,28
Ross Barkley,Central Midfield,6
Jordan Clark,Central Midfield,18
Luke Berry,Central Midfield,8
Elliot Thorpe,Central Midfield,28
Alfie Doughty,Left Midfield,45
Fred Onyedinma,Attacking Midfield,23
Chiedozie Ogbene,Right Winger,7
Tahith Chong,Right Winger,14
Andros Townsend,Right Winger,30
Carlton Morris,Centre-Forward,9
Elijah Adebayo,Centre-Forward,11
Jacob Brown,Centre-Forward,19
Cauley Woodrow,Centre-Forward,10
